particle,class_int,class_name
aligned_tom240_P0001.mrc,1,ring_complete
aligned_tom240_P0002.mrc,2,ring_altered
aligned_tom240_P0003.mrc,2,ring_altered
aligned_tom240_P0004.mrc,2,ring_altered
aligned_tom240_P0005.mrc,1,ring_complete
aligned_tom240_P0006.mrc,3,junk
aligned_tom241_P0001.mrc,1,ring_complete
aligned_tom241_P0002.mrc,1,ring_complete
aligned_tom241_P0003.mrc,2,ring_altered
aligned_tom241_P0004.mrc,1,ring_complete
aligned_tom242_P0001.mrc,2,ring_altered
aligned_tom242_P0002.mrc,1,ring_complete
aligned_tom243_P0001.mrc,1,ring_complete
aligned_tom244_P0001.mrc,1,ring_complete
aligned_tom244_P0002.mrc,1,ring_complete
aligned_tom244_P0003.mrc,1,ring_complete
aligned_tom244_P0004.mrc,1,ring_complete
aligned_tom245_P0001.mrc,1,ring_complete
aligned_tom246_P0001.mrc,1,ring_complete
aligned_tom246_P0002.mrc,2,ring_altered
aligned_tom247_P0001.mrc,2,ring_altered
aligned_tom247_P0002.mrc,2,ring_altered
aligned_tom247_P0003.mrc,1,ring_complete
aligned_tom247_P0004.mrc,2,ring_altered
aligned_tom247_P0005.mrc,1,ring_complete
aligned_tom247_P0006.mrc,3,junk
aligned_tom248_P0001.mrc,1,ring_complete
aligned_tom249_P0001.mrc,2,ring_altered
aligned_tom249_P0002.mrc,1,ring_complete
aligned_tom249_P0003.mrc,2,ring_altered
aligned_tom249_P0004.mrc,1,ring_complete
aligned_tom249_P0005.mrc,1,ring_complete
aligned_tom24_P0001.mrc,1,ring_complete
aligned_tom250_P0001.mrc,1,ring_complete
aligned_tom250_P0002.mrc,1,ring_complete
aligned_tom250_P0003.mrc,3,junk
aligned_tom250_P0004.mrc,1,ring_complete
aligned_tom251_P0001.mrc,1,ring_complete
aligned_tom252_P0001.mrc,2,ring_altered
aligned_tom253_P0001.mrc,1,ring_complete
aligned_tom253_P0002.mrc,1,ring_complete
aligned_tom253_P0003.mrc,2,ring_altered
aligned_tom253_P0004.mrc,1,ring_complete
aligned_tom253_P0005.mrc,2,ring_altered
aligned_tom254_P0001.mrc,2,ring_altered
aligned_tom254_P0002.mrc,1,ring_complete
aligned_tom254_P0003.mrc,3,junk
aligned_tom255_P0001.mrc,1,ring_complete
aligned_tom256_P0001.mrc,2,ring_altered
aligned_tom257_P0001.mrc,2,ring_altered
aligned_tom257_P0002.mrc,2,ring_altered
aligned_tom257_P0003.mrc,2,ring_altered
aligned_tom258_P0001.mrc,1,ring_complete
aligned_tom258_P0002.mrc,1,ring_complete
aligned_tom258_P0003.mrc,3,junk
aligned_tom259_P0001.mrc,1,ring_complete
aligned_tom259_P0002.mrc,2,ring_altered
aligned_tom259_P0003.mrc,2,ring_altered
aligned_tom259_P0004.mrc,2,ring_altered
aligned_tom25_P0001.mrc,2,ring_altered
aligned_tom25_P0002.mrc,1,ring_complete
aligned_tom25_P0003.mrc,1,ring_complete
aligned_tom25_P0004.mrc,1,ring_complete
aligned_tom260_P0001.mrc,2,ring_altered
aligned_tom260_P0002.mrc,1,ring_complete
aligned_tom260_P0003.mrc,3,junk
aligned_tom260_P0004.mrc,1,ring_complete
aligned_tom260_P0005.mrc,3,junk
aligned_tom261_P0001.mrc,2,ring_altered
aligned_tom261_P0002.mrc,3,junk
aligned_tom262_P0001.mrc,1,ring_complete
aligned_tom262_P0002.mrc,1,ring_complete
aligned_tom263_P0001.mrc,2,ring_altered
aligned_tom263_P0002.mrc,2,ring_altered
aligned_tom263_P0003.mrc,2,ring_altered
aligned_tom264_P0001.mrc,1,ring_complete
aligned_tom264_P0002.mrc,1,ring_complete
aligned_tom265_P0001.mrc,1,ring_complete
aligned_tom265_P0002.mrc,2,ring_altered
aligned_tom266_P0001.mrc,2,ring_altered
aligned_tom266_P0002.mrc,1,ring_complete
aligned_tom267_P0001.mrc,1,ring_complete
aligned_tom267_P0002.mrc,1,ring_complete
aligned_tom267_P0003.mrc,1,ring_complete
aligned_tom268_P0001.mrc,3,junk
aligned_tom268_P0002.mrc,1,ring_complete
aligned_tom268_P0003.mrc,2,ring_altered
aligned_tom269_P0001.mrc,2,ring_altered
aligned_tom269_P0002.mrc,2,ring_altered
aligned_tom26_P0001.mrc,2,ring_altered
aligned_tom26_P0002.mrc,1,ring_complete
aligned_tom26_P0003.mrc,1,ring_complete
aligned_tom26_P0004.mrc,1,ring_complete
aligned_tom270_P0001.mrc,2,ring_altered
aligned_tom271_P0001.mrc,2,ring_altered
aligned_tom271_P0002.mrc,1,ring_complete
aligned_tom271_P0003.mrc,3,junk
aligned_tom272_P0001.mrc,1,ring_complete
aligned_tom272_P0002.mrc,2,ring_altered
aligned_tom273_P0001.mrc,2,ring_altered
aligned_tom273_P0002.mrc,1,ring_complete
aligned_tom273_P0003.mrc,3,junk
aligned_tom274_P0001.mrc,3,junk
aligned_tom274_P0002.mrc,1,ring_complete
aligned_tom274_P0003.mrc,2,ring_altered
aligned_tom274_P0004.mrc,2,ring_altered
aligned_tom275_P0001.mrc,2,ring_altered
aligned_tom275_P0002.mrc,1,ring_complete
aligned_tom275_P0003.mrc,1,ring_complete
aligned_tom276_P0001.mrc,2,ring_altered
aligned_tom276_P0002.mrc,2,ring_altered
aligned_tom277_P0001.mrc,1,ring_complete
aligned_tom277_P0002.mrc,2,ring_altered
aligned_tom278_P0001.mrc,1,ring_complete
aligned_tom279_P0001.mrc,3,junk
aligned_tom27_P0001.mrc,1,ring_complete
aligned_tom27_P0002.mrc,2,ring_altered
aligned_tom27_P0003.mrc,3,junk
aligned_tom280_P0001.mrc,2,ring_altered
aligned_tom280_P0002.mrc,1,ring_complete
aligned_tom281_P0001.mrc,2,ring_altered
aligned_tom281_P0002.mrc,1,ring_complete
aligned_tom281_P0003.mrc,2,ring_altered
aligned_tom282_P0001.mrc,2,ring_altered
aligned_tom282_P0002.mrc,1,ring_complete
aligned_tom283_P0001.mrc,2,ring_altered
aligned_tom283_P0002.mrc,1,ring_complete
aligned_tom283_P0003.mrc,1,ring_complete
aligned_tom283_P0004.mrc,1,ring_complete
aligned_tom283_P0005.mrc,1,ring_complete
aligned_tom284_P0001.mrc,1,ring_complete
aligned_tom284_P0002.mrc,1,ring_complete
aligned_tom285_P0001.mrc,1,ring_complete
aligned_tom286_P0001.mrc,1,ring_complete
aligned_tom286_P0002.mrc,3,junk
aligned_tom286_P0003.mrc,1,ring_complete
aligned_tom286_P0004.mrc,3,junk
aligned_tom287_P0001.mrc,1,ring_complete
aligned_tom287_P0002.mrc,3,junk
aligned_tom287_P0003.mrc,2,ring_altered
aligned_tom287_P0004.mrc,1,ring_complete
aligned_tom288_P0001.mrc,2,ring_altered
aligned_tom288_P0002.mrc,2,ring_altered
aligned_tom288_P0003.mrc,2,ring_altered
aligned_tom288_P0004.mrc,3,junk
aligned_tom288_P0005.mrc,1,ring_complete
aligned_tom289_P0001.mrc,3,junk
aligned_tom289_P0002.mrc,3,junk
aligned_tom289_P0003.mrc,3,junk
aligned_tom28_P0001.mrc,1,ring_complete
aligned_tom290_P0001.mrc,2,ring_altered
aligned_tom290_P0002.mrc,2,ring_altered
aligned_tom290_P0003.mrc,1,ring_complete
aligned_tom290_P0004.mrc,1,ring_complete
aligned_tom291_P0001.mrc,1,ring_complete
aligned_tom291_P0002.mrc,1,ring_complete
aligned_tom291_P0003.mrc,1,ring_complete
aligned_tom291_P0004.mrc,1,ring_complete
aligned_tom291_P0005.mrc,2,ring_altered
aligned_tom291_P0006.mrc,2,ring_altered
aligned_tom291_P0007.mrc,1,ring_complete
aligned_tom292_P0001.mrc,2,ring_altered
aligned_tom292_P0002.mrc,2,ring_altered
aligned_tom292_P0003.mrc,2,ring_altered
aligned_tom292_P0004.mrc,1,ring_complete
aligned_tom292_P0005.mrc,3,junk
aligned_tom292_P0006.mrc,2,ring_altered
aligned_tom292_P0007.mrc,1,ring_complete
aligned_tom292_P0008.mrc,1,ring_complete
aligned_tom293_P0001.mrc,1,ring_complete
aligned_tom294_P0001.mrc,2,ring_altered
aligned_tom294_P0002.mrc,3,junk
aligned_tom294_P0003.mrc,1,ring_complete
aligned_tom29_P0001.mrc,2,ring_altered
aligned_tom2_P0001.mrc,2,ring_altered
aligned_tom2_P0002.mrc,1,ring_complete
aligned_tom30_P0001.mrc,1,ring_complete
aligned_tom31_P0001.mrc,1,ring_complete
aligned_tom32_P0001.mrc,3,junk
aligned_tom33_P0001.mrc,3,junk
aligned_tom34_P0001.mrc,2,ring_altered
aligned_tom35_P0001.mrc,3,junk
aligned_tom35_P0002.mrc,1,ring_complete
aligned_tom35_P0003.mrc,2,ring_altered
aligned_tom36_P0001.mrc,2,ring_altered
aligned_tom36_P0002.mrc,3,junk
aligned_tom37_P0001.mrc,3,junk
aligned_tom37_P0002.mrc,2,ring_altered
aligned_tom38_P0001.mrc,2,ring_altered
aligned_tom38_P0002.mrc,1,ring_complete
aligned_tom38_P0003.mrc,1,ring_complete
aligned_tom39_P0001.mrc,2,ring_altered
aligned_tom3_P0001.mrc,2,ring_altered
aligned_tom3_P0002.mrc,2,ring_altered
aligned_tom3_P0003.mrc,1,ring_complete
aligned_tom3_P0004.mrc,1,ring_complete
aligned_tom3_P0005.mrc,1,ring_complete
aligned_tom40_P0001.mrc,1,ring_complete
aligned_tom41_P0001.mrc,2,ring_altered
aligned_tom41_P0002.mrc,2,ring_altered
aligned_tom42_P0001.mrc,3,junk
aligned_tom43_P0001.mrc,1,ring_complete
aligned_tom43_P0002.mrc,1,ring_complete
aligned_tom43_P0003.mrc,3,junk
aligned_tom43_P0004.mrc,2,ring_altered
aligned_tom43_P0005.mrc,1,ring_complete
aligned_tom44_P0001.mrc,2,ring_altered
aligned_tom45_P0001.mrc,2,ring_altered
aligned_tom46_P0001.mrc,2,ring_altered
aligned_tom46_P0002.mrc,1,ring_complete
aligned_tom46_P0003.mrc,3,junk
aligned_tom47_P0001.mrc,1,ring_complete
aligned_tom47_P0002.mrc,1,ring_complete
aligned_tom47_P0003.mrc,1,ring_complete
aligned_tom47_P0004.mrc,3,junk
aligned_tom47_P0005.mrc,1,ring_complete
aligned_tom48_P0001.mrc,2,ring_altered
aligned_tom48_P0002.mrc,1,ring_complete
aligned_tom49_P0001.mrc,2,ring_altered
aligned_tom49_P0002.mrc,2,ring_altered
aligned_tom4_P0001.mrc,1,ring_complete
aligned_tom4_P0002.mrc,1,ring_complete
aligned_tom4_P0003.mrc,2,ring_altered
aligned_tom50_P0001.mrc,1,ring_complete
aligned_tom50_P0002.mrc,2,ring_altered
aligned_tom51_P0001.mrc,2,ring_altered
aligned_tom51_P0002.mrc,2,ring_altered
aligned_tom52_P0001.mrc,1,ring_complete
aligned_tom52_P0002.mrc,1,ring_complete
aligned_tom53_P0001.mrc,1,ring_complete
aligned_tom53_P0002.mrc,2,ring_altered
aligned_tom53_P0003.mrc,1,ring_complete
aligned_tom53_P0004.mrc,1,ring_complete
aligned_tom53_P0005.mrc,1,ring_complete
aligned_tom54_P0001.mrc,1,ring_complete
aligned_tom55_P0001.mrc,1,ring_complete
aligned_tom55_P0002.mrc,2,ring_altered
aligned_tom56_P0001.mrc,2,ring_altered
aligned_tom57_P0001.mrc,2,ring_altered
aligned_tom57_P0002.mrc,2,ring_altered
aligned_tom58_P0001.mrc,2,ring_altered
aligned_tom58_P0002.mrc,1,ring_complete
aligned_tom59_P0001.mrc,1,ring_complete
aligned_tom59_P0002.mrc,1,ring_complete
aligned_tom5_P0001.mrc,1,ring_complete
aligned_tom60_P0001.mrc,1,ring_complete
aligned_tom61_P0001.mrc,2,ring_altered
aligned_tom62_P0001.mrc,2,ring_altered
aligned_tom63_P0001.mrc,1,ring_complete
aligned_tom63_P0002.mrc,2,ring_altered
aligned_tom64_P0001.mrc,1,ring_complete
aligned_tom65_P0001.mrc,1,ring_complete
aligned_tom66_P0001.mrc,1,ring_complete
aligned_tom66_P0002.mrc,2,ring_altered
aligned_tom67_P0001.mrc,3,junk
aligned_tom67_P0002.mrc,2,ring_altered
aligned_tom67_P0003.mrc,2,ring_altered
aligned_tom67_P0004.mrc,2,ring_altered
aligned_tom67_P0005.mrc,2,ring_altered
aligned_tom68_P0001.mrc,2,ring_altered
aligned_tom68_P0002.mrc,1,ring_complete
aligned_tom69_P0001.mrc,2,ring_altered
aligned_tom69_P0002.mrc,2,ring_altered
aligned_tom69_P0003.mrc,1,ring_complete
aligned_tom69_P0004.mrc,1,ring_complete
aligned_tom6_P0001.mrc,1,ring_complete
aligned_tom6_P0002.mrc,1,ring_complete
aligned_tom6_P0003.mrc,1,ring_complete
aligned_tom70_P0001.mrc,2,ring_altered
aligned_tom70_P0002.mrc,2,ring_altered
aligned_tom70_P0003.mrc,1,ring_complete
aligned_tom70_P0004.mrc,1,ring_complete
aligned_tom70_P0005.mrc,1,ring_complete
aligned_tom71_P0001.mrc,2,ring_altered
aligned_tom71_P0002.mrc,1,ring_complete
aligned_tom71_P0003.mrc,2,ring_altered
aligned_tom71_P0004.mrc,1,ring_complete
aligned_tom72_P0001.mrc,2,ring_altered
aligned_tom73_P0001.mrc,2,ring_altered
aligned_tom73_P0002.mrc,1,ring_complete
aligned_tom74_P0001.mrc,1,ring_complete
aligned_tom74_P0002.mrc,2,ring_altered
aligned_tom75_P0001.mrc,2,ring_altered
aligned_tom75_P0002.mrc,1,ring_complete
aligned_tom75_P0003.mrc,1,ring_complete
aligned_tom76_P0001.mrc,3,junk
aligned_tom76_P0002.mrc,1,ring_complete
aligned_tom77_P0001.mrc,2,ring_altered
aligned_tom78_P0001.mrc,2,ring_altered
aligned_tom79_P0001.mrc,2,ring_altered
aligned_tom7_P0001.mrc,3,junk
aligned_tom80_P0001.mrc,1,ring_complete
aligned_tom80_P0002.mrc,1,ring_complete
aligned_tom80_P0003.mrc,1,ring_complete
aligned_tom81_P0001.mrc,1,ring_complete
aligned_tom81_P0002.mrc,1,ring_complete
aligned_tom81_P0003.mrc,2,ring_altered
aligned_tom82_P0001.mrc,2,ring_altered
aligned_tom82_P0002.mrc,2,ring_altered
aligned_tom82_P0003.mrc,2,ring_altered
aligned_tom82_P0004.mrc,3,junk
aligned_tom83_P0001.mrc,1,ring_complete
aligned_tom84_P0001.mrc,1,ring_complete
aligned_tom84_P0002.mrc,1,ring_complete
aligned_tom85_P0001.mrc,1,ring_complete
aligned_tom85_P0002.mrc,3,junk
aligned_tom85_P0003.mrc,1,ring_complete
aligned_tom85_P0004.mrc,1,ring_complete
aligned_tom86_P0001.mrc,1,ring_complete
aligned_tom86_P0002.mrc,1,ring_complete
aligned_tom86_P0003.mrc,1,ring_complete
aligned_tom86_P0004.mrc,1,ring_complete
aligned_tom86_P0005.mrc,1,ring_complete
aligned_tom86_P0006.mrc,2,ring_altered
aligned_tom87_P0001.mrc,1,ring_complete
aligned_tom87_P0002.mrc,2,ring_altered
aligned_tom88_P0001.mrc,1,ring_complete
aligned_tom89_P0001.mrc,2,ring_altered
aligned_tom89_P0002.mrc,1,ring_complete
aligned_tom8_P0001.mrc,3,junk
aligned_tom90_P0001.mrc,1,ring_complete
aligned_tom91_P0001.mrc,1,ring_complete
aligned_tom92_P0001.mrc,1,ring_complete
aligned_tom93_P0001.mrc,1,ring_complete
aligned_tom93_P0002.mrc,1,ring_complete
aligned_tom93_P0003.mrc,1,ring_complete
aligned_tom94_P0001.mrc,1,ring_complete
aligned_tom94_P0002.mrc,1,ring_complete
aligned_tom94_P0003.mrc,3,junk
aligned_tom95_P0001.mrc,2,ring_altered
aligned_tom95_P0002.mrc,1,ring_complete
aligned_tom96_P0001.mrc,2,ring_altered
aligned_tom97_P0001.mrc,2,ring_altered
aligned_tom97_P0002.mrc,1,ring_complete
aligned_tom97_P0003.mrc,1,ring_complete
aligned_tom98_P0001.mrc,2,ring_altered
aligned_tom98_P0002.mrc,2,ring_altered
aligned_tom98_P0003.mrc,2,ring_altered
aligned_tom99_P0001.mrc,1,ring_complete
aligned_tom9_P0001.mrc,2,ring_altered
